dataset,horizon,mae,std_mae,rmse,rmse_states,pcc,pcc_states,mape,r2,r2_states,var,var_states,peak_mae
japan,5,444.28278,370.8096,1155.8110788532874,852.3786,0.8711261368060956,0.8793265768266719,0.0681487625,0.6827481521931635,0.6874813255221075,0.6909081935882568,0.7096470087132556,324.84088
japan,3,632.7608,502.66678,1326.6274439344304,990.8537,0.8019117694372532,0.8023550305627322,0.24779015,0.5820461190703122,0.5630426146061946,0.6049495935440063,0.6096700303097988,322.35852
region785,5,424.5071,224.00528,779.1602851788584,664.7509,0.8470958583060959,0.7806932219989406,7.977821230888367e-08,0.7010730301727903,0.3788375032511843,0.7034202814102173,0.5813463926315308,341.3276
region785,3,337.91736,187.53966,622.8181415951209,526.16785,0.9019593375271322,0.8511315158983421,5.4837602376937864e-08,0.8089997272251653,0.6386396231578105,0.8090029954910278,0.7058831572532653,268.60837
region785,10,738.49023,420.45447,1097.5300109791988,935.8707,0.6562127934779366,0.4339390706714553,1.7420414686203003e-07,0.4068776672179092,-0.23486546917055212,0.4296002984046936,0.2085643529891968,483.89227
region785,15,620.9106,410.40326,1076.3865476677047,885.8016,0.6718895352236771,0.44427348034381636,1.0991911888122559e-07,0.4295100058032878,0.11313704779727447,0.4367982745170593,0.21009964346885682,449.6312
japan,15,593.43695,484.26843,1507.8106645066548,1125.7103,0.7009797727898154,0.7016110982416711,0.07993055625,0.4600866485607975,0.44156717000185997,0.4642341136932373,0.45987108032754126,414.0846
state360,15,109.51171,117.712166,235.90050206601936,157.91838,0.8502968135287026,0.6602875320194116,0.005235676953125,0.7183266834323714,-2.3133161314208217,0.7204930782318115,-1.3446523352545134,64.24989
state360,5,83.16788,90.839485,202.93742300583696,133.47287,0.906640950565131,0.6868779133864527,0.004125980078125,0.7915449884822703,0.0007979554092906318,0.7969977855682373,0.21930026643130243,56.538334
state360,10,106.33814,127.0544,258.9163112860988,165.43428,0.8506045642479445,0.566695543228208,0.00427122578125,0.6606820148185475,-0.7384434585624576,0.6787512302398682,-0.3975883734469511,76.811844
state360,3,68.61786,74.04108,166.34438697510956,108.751144,0.9285572664356863,0.7992551004641846,0.0026205921875,0.8599431570077205,0.32569091052648985,0.8600149154663086,0.47163835350348027,43.844666
spain-covid,3,42.85718,116.79645,182.63840000462662,52.182655,0.262787333452254,nan,0.31883715,-0.022775452791849116,-51.671036348436175,0.005775332450866699,-0.9343293939645474,6.1607714
spain-covid,7,43.013897,118.88818,175.05246981262505,51.47072,0.3752388608236683,nan,0.321293925,0.06042249759234608,-56.058437332661235,0.09157794713973999,-2.5634627835108685,5.534383
spain-covid,14,50.116234,126.464195,187.405017608921,60.428383,0.27031472208776025,nan,0.3830265,-0.07685820524386577,-90.6284900739158,-0.032219886779785156,-10.010898857162548,5.9725475
australia-covid,14,183.49808,373.76233,518.1544472934687,228.95668,0.9866495310343453,0.2988999524083056,0.024858884375,0.9283679407251627,-3314.2861985417835,0.936469316482544,-160.69142071157694,146.22124
australia-covid,7,107.63452,241.04475,369.91308100687655,150.38446,0.9917355110665085,0.6080507495608387,0.0105088109375,0.9634919704208036,-596.3501451051039,0.9659542441368103,-24.80823700875044,94.23731
australia-covid,3,78.7601,178.03535,289.05376338148585,114.17111,0.9945947732157947,0.8121919780208486,0.0051001,0.9777081428380363,-6.668943055400533,0.9791290760040283,-0.6992214694619179,69.500534
ltla_timeseries,3,80.79579,65.309296,164.27722258236227,127.801346,0.7193088809726227,0.7539682868806146,5.260955691337585e-08,0.42784794522983316,0.15038988223883656,0.4775289297103882,0.389063111075791,77.78476
ltla_timeseries,5,82.34776,67.94975,169.41671534267215,131.44069,0.7136121321833135,0.7301233401841959,4.938029050827026e-08,0.3914877808211452,0.10029038604556047,0.46124011278152466,0.380010080754116,79.90569
ltla_timeseries,7,101.01297,76.398186,183.7814598919053,145.99698,0.56921170066704,0.5221751556357855,8.219739198684693e-08,0.2839221004101289,-0.07035536270875987,0.3221985697746277,0.1979672388043455,95.04891
ltla_timeseries,14,101.01167,75.32662,184.36786003124297,147.07423,0.570406867214788,0.4160795803756413,7.711854577064514e-08,0.27934516287083033,-0.08904047076343212,0.3234019875526428,0.15114155283538244,95.92269
nhs_timeseries,14,9.992818,3.5424645,13.173342078922884,12.451613,0.9512055439947826,0.8956616050663554,3.40981274843216e-08,0.8931981072507831,0.7567816103316598,0.8971240520477295,0.7689431139401027,0.21052156
nhs_timeseries,7,11.493473,5.9547005,15.843818378489035,14.138426,0.9305619988986602,0.8745359142463778,4.1438618302345276e-08,0.8455077286400791,0.7250976575663366,0.849397599697113,0.7383195928164891,0.16004181
nhs_timeseries,3,5.307218,2.8174698,7.014328052969006,6.2739234,0.9901232101605824,0.9871238517811614,1.8136870861053467e-08,0.9697197678550736,0.9490895374021191,0.9802996516227722,0.9697220070021493,0.07072245
